"","account","subaccount","type","date","num","adj","name","memo","split","debit","credit","balance"
"1","Company Checking Account","Company Checking Account",NA,NA,NA,NA,NA,NA,NA,0,0,12349
"2","Company Checking Account","Company Checking Account","Check",2018-01-01,"5001","0","Kuver Property","Janaury Rent","Rent",0,583.75,11765.25
"3","Company Checking Account","Company Checking Account","Check",2018-01-01,"5000","0","Online Accounting","Set up QuickBooks file","Accounting Fees",0,225,11540.25
"4","Company Checking Account","Company Checking Account","Deposit",2018-01-01,NA,NA,NA,"Deposit","-SPLIT-",31349,0,42889.25
"5","Company Checking Account","Company Checking Account","Check",2018-01-05,"5002",NA,"Deborah Wood (Owner)","Petty Cash","Petty Cash Account",0,500,42389.25
"6","Company Checking Account","Company Checking Account","Check",2018-01-08,"5003",NA,"Gas & Electic Company","ACCT# 098703","Utilities",0,65.08,42324.17
"7","Company Checking Account","Company Checking Account","Paycheck",2018-01-15,"3001",NA,"King, Vicki",NA,"-SPLIT-",0,167.72,42156.45
"8","Company Checking Account","Company Checking Account","Check",2018-01-15,"5007",NA,"Automobile Loan Company","Car lease","Car Lease",0,563,41593.45
"9","Company Checking Account","Company Checking Account","Paycheck",2018-01-15,"3003",NA,"Bolinski, Rafal",NA,"-SPLIT-",0,310.78,41282.67
"10","Company Checking Account","Company Checking Account","Paycheck",2018-01-15,"3004",NA,"Deen, Jeannette",NA,"-SPLIT-",0,218.96,41063.71
"11","Company Checking Account","Company Checking Account","Check",2018-01-22,"5011",NA,"Office Supply Store","Acct# 27804","Supplies",0,634.21,40429.5
"12","Company Checking Account","Company Checking Account","Check",2018-01-22,"5010",NA,"Local Phone Company","6503221414","Telephone",0,253,40176.5
"13","Company Checking Account","Company Checking Account","Check",2018-01-22,"5008",NA,"Cell Phone Company","Cell","Telephone",0,101.18,40075.32
"14","Company Checking Account","Company Checking Account","Check",2018-01-22,"5009",NA,"Fisse Fast Package Delivery","ACCT# 256044025","Postage and Delivery",0,78,39997.32
"15","Company Checking Account","Company Checking Account","Check",2018-01-25,"5013",NA,"Gretton Insurance Co.","WC Policy # 87023 Jan07","-SPLIT-",0,231.84,39765.48
"16","Company Checking Account","Company Checking Account","Check",2018-01-25,"5014",NA,"Payroll Service Co."," Payroll","Payroll Service Fees",0,127.08,39638.4
"17","Company Checking Account","Company Checking Account","Check",2018-01-25,"5015",NA,"Pace Shipping Supplies","Acct# 45980","Office Equipment",0,25,39613.4
"18","Company Checking Account","Company Checking Account","Check",2018-01-25,"5017",NA,"Health Insurance Co.","Employee Health Insurance Policy#258BVF4","-SPLIT-",0,543.83,39069.57
"19","Company Checking Account","Company Checking Account","Check",2018-01-25,"5016",NA,"Deborah Wood (Owner)","13103 Exp Report","Travel",0,55.23,39014.34
"20","Company Checking Account","Company Checking Account","Check",2018-01-25,"5012",NA,"King, Vicki",NA,"Meals and Entertainment",0,55,38959.34
"21","Company Checking Account","Company Checking Account","Check",2018-01-25,"5018",NA,"Novello Lights Magazine","Q1 07 Ad","Advertising Expense",0,500,38459.34
"22","Company Checking Account","Company Checking Account","Check",2018-01-26,"5019",NA,"Deborah Wood (Owner)","Owners Draw","Deborah Wood Draws",0,10500,27959.34
"23","Company Checking Account","Company Checking Account","Check",2018-01-29,"5020",NA,"Credit Card","ACCT# 3786401297855001","QuickBooks Credit Card",0,95.71,27863.63
"24","Company Checking Account","Company Checking Account","Check",2018-01-29,"5021",NA,"Gretton Insurance Co.","Liability Ins. Policy#203654","Prepaid Insurance",0,6875,20988.63
"25","Company Checking Account","Company Checking Account","Deposit",2018-01-30,NA,NA,NA,"Deposit","-SPLIT-",3064,0,24052.63
"26","Company Checking Account","Company Checking Account","Check",2018-01-31,"5024",NA,"Jeff's Janitorial","Jan07","Maintenance/Janitorial",0,200,23852.63
"27","Company Checking Account","Company Checking Account","Check",2018-01-31,"5025",NA,"Lawson Professional Seminars, Inc.","Spring Seminar #407","Conferences and Seminars",0,1000,22852.63
"28","Company Checking Account","Company Checking Account","Check",2018-01-31,"5026",NA,"Gretton Insurance Co.","Policy # 14B09 Jan07","General Liability Insurance",0,230,22622.63
"29","Company Checking Account","Company Checking Account","Check",2018-01-31,"5027",NA,"Professional Association","07 Annual dues","Dues and Subscriptions",0,500,22122.63
"30","Company Checking Account","Company Checking Account","Check",2018-01-31,"5028",NA,"Professional Association","07 Annual dues","Dues and Subscriptions",0,350,21772.63
"31","Company Checking Account","Company Checking Account","Check",2018-01-31,"5022",NA,"Automobile Insurance Company","Auto Insurance Policy # 14906","Insurance-Auto",0,120,21652.63
"32","Company Checking Account","Company Checking Account","Check",2018-01-31,"5023",NA,"Jonathan Graham (reimbursments)","13103 Expense Report","-SPLIT-",0,223.15,21429.48
"33","Company Checking Account","Company Checking Account","Check",2018-02-01,"5029",NA,"Kuver Property","February Rent","Rent",0,583.75,20845.73
"34","Company Checking Account","Company Checking Account","Paycheck",2018-02-01,"3004",NA,"King, Vicki",NA,"-SPLIT-",0,117.72,20728.01
"35","Company Checking Account","Company Checking Account","Paycheck",2018-02-01,"3005",NA,"Bolinski, Rafal",NA,"-SPLIT-",0,310.78,20417.23
"36","Company Checking Account","Company Checking Account","Paycheck",2018-02-01,"3006",NA,"Deen, Jeannette",NA,"-SPLIT-",0,218.96,20198.27
"37","Company Checking Account","Company Checking Account","Check",2018-02-05,"5031",NA,"Local Bank","Interest on Line of Credit Jan 07","Interest Expense",0,100.13,20098.14
"38","Company Checking Account","Company Checking Account","Check",2018-02-05,"5030",NA,"Gretton Insurance Co.","Feb 07 WC Policy # 87023, Gen Liab. #14B09","-SPLIT-",0,461.84,19636.3
"39","Company Checking Account","Company Checking Account","Check",2018-02-07,"5032",NA,"Gas & Electic Company","ACCT# 098703","Utilities",0,55.08,19581.22
"40","Company Checking Account","Company Checking Account","Transfer",2018-02-09,NA,NA,NA,"Funds Transfer","Line of Credit",0,10000,9581.22
"41","Company Checking Account","Company Checking Account","Paycheck",2018-02-15,"3006",NA,"King, Vicki",NA,"-SPLIT-",0,217.72,9363.5
"42","Company Checking Account","Company Checking Account","Check",2018-02-15,"5037",NA,"Automobile Loan Company","Car lease","Car Lease",0,563,8800.5
"43","Company Checking Account","Company Checking Account","Liability Check",2018-02-15,"5036",NA,"Sec125 Administrator","Acct#  870547","SEC125 Payable",0,50,8750.5
"44","Company Checking Account","Company Checking Account","Paycheck",2018-02-15,"3007",NA,"Bolinski, Rafal",NA,"-SPLIT-",0,310.78,8439.72
"45","Company Checking Account","Company Checking Account","Paycheck",2018-02-15,"3008",NA,"Deen, Jeannette",NA,"-SPLIT-",0,218.96,8220.76
"46","Company Checking Account","Company Checking Account","Deposit",2018-02-15,NA,NA,NA,"Deposit","Undeposited Funds",2381,0,10601.76
"47","Company Checking Account","Company Checking Account","Liability Check",2018-02-15,"5347",NA,"Local Bank","55-5555555","-SPLIT-",0,600.59,10001.17
"48","Company Checking Account","Company Checking Account","Deposit",2018-02-17,NA,NA,NA,"Deposit","Undeposited Funds",21330,0,31331.17
"49","Company Checking Account","Company Checking Account","Bill Pmt -Check",2018-02-20,"3063",NA,"Paulsen's Lighting",NA,"Accounts Payable",0,2520,28811.17
"50","Company Checking Account","Company Checking Account","Check",2018-02-22,"5044",NA,"Office Supply Store","Acct# 27804","Supplies",0,223.56,28587.61
"51","Company Checking Account","Company Checking Account","Check",2018-02-22,"5041",NA,"Local Phone Company","6503221414","Telephone",0,221.47,28366.14
"52","Company Checking Account","Company Checking Account","Check",2018-02-22,"5038",NA,"Deborah Wood (Owner)","Petty Cash","-SPLIT-",0,457.98,27908.16
"53","Company Checking Account","Company Checking Account","Check",2018-02-22,"5040",NA,"Legal Firm","ACCT#400259","Legal Fees",0,400,27508.16
"54","Company Checking Account","Company Checking Account","Check",2018-02-22,"5042",NA,"Lincoln Office Equip.",NA,"Office Equipment",0,450,27058.16
"55","Company Checking Account","Company Checking Account","Check",2018-02-22,"5043",NA,"City of Bayshore","business license","Business License & Fees",0,354,26704.16
"56","Company Checking Account","Company Checking Account","Check",2018-02-22,"5039",NA,"County of Middlefield","Personal Property Tax","Business License & Fees",0,356.23,26347.93
"57","Company Checking Account","Company Checking Account","Check",2018-02-22,"5045",NA,"Postmaster","postage","Postage and Delivery",0,54,26293.93
"58","Company Checking Account","Company Checking Account","Check",2018-02-22,"5046",NA,"Fisse Fast Package Delivery","ACCT# 256044025","Postage and Delivery",0,78,26215.93
"59","Company Checking Account","Company Checking Account","Check",2018-02-23,"5047",NA,"Cell Phone Company","Cell","Telephone",0,98.67,26117.26
"60","Company Checking Account","Company Checking Account","Check",2018-02-26,"5048",NA,"Health Insurance Co.","Employee Health Insurance Policy#258BVF4","-SPLIT-",0,543.83,25573.43
"61","Company Checking Account","Company Checking Account","Check",2018-02-26,"5049",NA,"Pace Shipping Supplies","Acct# 45980","Office Equipment",0,25,25548.43
"62","Company Checking Account","Company Checking Account","Check",2018-02-26,"5050",NA,"Payroll Service Co.","Feb Payroll","Payroll Service Fees",0,132,25416.43
"63","Company Checking Account","Company Checking Account","Check",2018-02-26,"5051",NA,"Deborah Wood (Owner)","Owner's Draw","Deborah Wood Draws",0,12250,13166.43
"64","Company Checking Account","Company Checking Account","Check",2018-02-28,"5053",NA,"Jeff's Janitorial","Monthly Fees","Maintenance/Janitorial",0,200,12966.43
"65","Company Checking Account","Company Checking Account","Check",2018-02-28,"5056",NA,"Automobile Insurance Company","Auto Insurance Policy # 14906","Insurance-Auto",0,120,12846.43
"66","Company Checking Account","Company Checking Account","Check",2018-02-28,"5054",NA,"Credit Card","ACCT# 3786401297855001","QuickBooks Credit Card",0,56,12790.43
"67","Company Checking Account","Company Checking Account","Bill Pmt -Check",2018-02-28,"5052",NA,"Fisse Fast Package Delivery","ACCT# 256044025","Accounts Payable",0,134,12656.43
"68","Company Checking Account","Company Checking Account","Bill Pmt -Check",2018-02-28,"5057",NA,"Printing Shop","Inv#","Accounts Payable",0,255,12401.43
"69","Company Checking Account","Company Checking Account","Bill Pmt -Check",2018-02-28,"5058",NA,"Fisse Fast Package Delivery","ACCT# 256044025","Accounts Payable",0,197,12204.43
"70","Company Checking Account","Company Checking Account","Bill Pmt -Check",2018-02-28,"5055",NA,"Printing Shop","Inv#","Accounts Payable",0,156,12048.43
"71","Company Checking Account","Company Checking Account","Bill Pmt -Check",2018-02-28,"5238",NA,"Fisse Fast Package Delivery","ACCT# 256044025","Accounts Payable",0,164,11884.43
"72","Company Checking Account","Company Checking Account","Deposit",2018-02-28,NA,NA,NA,"Deposit","-SPLIT-",14072.35,0,25956.78
"73","Company Checking Account","Company Checking Account","Check",2018-03-01,"5059",NA,"Kuver Property","March  Rent","Rent",0,583.75,25373.03
"74","Company Checking Account","Company Checking Account","Paycheck",2018-03-01,"3008",NA,"King, Vicki",NA,"-SPLIT-",0,117.72,25255.31
"75","Company Checking Account","Company Checking Account","Paycheck",2018-03-01,"3009",NA,"Bolinski, Rafal",NA,"-SPLIT-",0,310.78,24944.53
"76","Company Checking Account","Company Checking Account","Paycheck",2018-03-01,"3010",NA,"Deen, Jeannette",NA,"-SPLIT-",0,218.96,24725.57
"77","Company Checking Account","Company Checking Account","Check",2018-03-05,"5060",NA,"Local Bank","Interest on Line of Credit Feb 07","Interest Expense",0,80.47,24645.1
"78","Company Checking Account","Company Checking Account","Check",2018-03-05,"5061",NA,"Gretton Insurance Co.","Mar 07 WC Policy # 87023, Gen Liab. #14B09","-SPLIT-",0,461.84,24183.26
"79","Company Checking Account","Company Checking Account","Transfer",2018-03-05,NA,NA,NA,"Funds Transfer","Line of Credit",50000,0,74183.26
"80","Company Checking Account","Company Checking Account","Bill Pmt -Check",2018-03-05,"3064",NA,"Foster Lighting",NA,"Accounts Payable",0,4470,69713.26
"81","Company Checking Account","Company Checking Account","Bill Pmt -Check",2018-03-05,"3065",NA,"Hall Lighting & Accessories",NA,"Accounts Payable",0,6747.5,62965.76
"82","Company Checking Account","Company Checking Account","Bill Pmt -Check",2018-03-05,"3066",NA,"Paulsen's Lighting",NA,"Accounts Payable",0,12812.5,50153.26
"83","Company Checking Account","Company Checking Account","Bill Pmt -Check",2018-03-05,"3067",NA,"Peacock Bulb Manufacturing Company",NA,"Accounts Payable",0,9142.5,41010.76
"84","Company Checking Account","Company Checking Account","Check",2018-03-08,"5062",NA,"Gas & Electic Company","ACCT# 098703","Utilities",0,48.08,40962.68
"85","Company Checking Account","Company Checking Account","Paycheck",2018-03-15,"3010",NA,"King, Vicki",NA,"-SPLIT-",0,217.72,40744.96
"86","Company Checking Account","Company Checking Account","Check",2018-03-15,"5066",NA,"Automobile Loan Company","Car lease","Car Lease",0,563,40181.96
"87","Company Checking Account","Company Checking Account","Liability Check",2018-03-15,"5065",NA,"Sec125 Administrator","Acct#  870547","SEC125 Payable",0,100,40081.96
"88","Company Checking Account","Company Checking Account","Paycheck",2018-03-15,"3011",NA,"Bolinski, Rafal",NA,"-SPLIT-",0,310.78,39771.18
"89","Company Checking Account","Company Checking Account","Paycheck",2018-03-15,"3012",NA,"Deen, Jeannette",NA,"-SPLIT-",0,218.96,39552.22
"90","Company Checking Account","Company Checking Account","Liability Check",2018-03-15,"5348",NA,"Local Bank","55-5555555","-SPLIT-",0,1231.22,38321
"91","Company Checking Account","Company Checking Account","Deposit",2018-03-17,NA,NA,NA,"Deposit","-SPLIT-",10731,0,49052
"92","Company Checking Account","Company Checking Account","Bill Pmt -Check",2018-03-20,"3068",NA,"Foster Lighting",NA,"Accounts Payable",0,8450,40602
"93","Company Checking Account","Company Checking Account","Bill Pmt -Check",2018-03-20,"3069",NA,"Paulsen's Lighting",NA,"Accounts Payable",0,3886,36716
"94","Company Checking Account","Company Checking Account","Check",2018-03-22,"5069",NA,"Office Supply Store","Acct# 27804","Supplies",0,452.13,36263.87
"95","Company Checking Account","Company Checking Account","Check",2018-03-22,"5068",NA,"Cell Phone Company","Cell","Telephone",0,101.57,36162.3
"96","Company Checking Account","Company Checking Account","Check",2018-03-22,"5070",NA,"Local Phone Company","6503221414","Telephone",0,211.56,35950.74
"97","Company Checking Account","Company Checking Account","Check",2018-03-22,"5071",NA,"Fisse Fast Package Delivery","ACCT# 256044025","Postage and Delivery",0,78,35872.74
"98","Company Checking Account","Company Checking Account","Check",2018-03-26,"5073",NA,"Health Insurance Co.","Employee Health Insurance Policy#258BVF4","-SPLIT-",0,543.83,35328.91
"99","Company Checking Account","Company Checking Account","Check",2018-03-26,"5072",NA,"Pace Shipping Supplies","Acct# 45980","Office Equipment",0,25,35303.91
"100","Company Checking Account","Company Checking Account","Check",2018-03-26,"5074",NA,"Payroll Service Co.","March Payroll","Payroll Service Fees",0,135.6,35168.31
"101","Company Checking Account","Company Checking Account","Check",2018-03-26,"5075",NA,"Deborah Wood (Owner)","Owner's Draw","Deborah Wood Draws",0,10000,25168.31
"102","Company Checking Account","Company Checking Account","Check",2018-03-30,"5077",NA,"Jeff's Janitorial","Monthly Fees","Maintenance/Janitorial",0,200,24968.31
"103","Company Checking Account","Company Checking Account","Check",2018-03-30,"5076",NA,"Automobile Insurance Company","Auto Insurance Policy # 14906","Insurance-Auto",0,120,24848.31
"104","Company Checking Account","Company Checking Account","Check",2018-03-30,"5078",NA,"Credit Card","ACCT# 3786401297855001","QuickBooks Credit Card",0,682.23,24166.08
"105","Company Checking Account","Company Checking Account","Deposit",2018-03-31,NA,NA,NA,"Deposit","-SPLIT-",19958.45,0,44124.53
"106","Company Checking Account","Company Checking Account","Check",2018-04-02,"5079",NA,"Kuver Property","April Rent","Rent",0,583.75,43540.78
"107","Company Checking Account","Company Checking Account","Paycheck",2018-04-02,"3012",NA,"King, Vicki",NA,"-SPLIT-",0,117.72,43423.06
"108","Company Checking Account","Company Checking Account","Paycheck",2018-04-02,"3013",NA,"Bolinski, Rafal",NA,"-SPLIT-",0,310.78,43112.28
"109","Company Checking Account","Company Checking Account","Paycheck",2018-04-02,"3014",NA,"Deen, Jeannette",NA,"-SPLIT-",0,218.96,42893.32
"110","Company Checking Account","Company Checking Account","Check",2018-04-04,"5081",NA,"Local Bank","Interest on Line of Credit Mar 07","Interest Expense",0,81.56,42811.76
"111","Company Checking Account","Company Checking Account","Check",2018-04-04,"5080",NA,"Gretton Insurance Co.","Apr 07 WC Policy # 87023, Gen Liab. #14B09","-SPLIT-",0,461.84,42349.92
